name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,engine,seats
Maruti Wagon R VXI,2009,2534,77000,Petrol,Dealer,Manual,Second Owner,998 CC,5
Tata Manza Aura (ABS) Quadrajet,2010,2740,100000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Maruti Swift VXI,2019,8425,10000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Eeco 7 Seater Standard BSIV,2016,3699,100000,Petrol,Individual,Manual,Third Owner,1196 CC,7
Maruti Baleno Zeta 1.2,2018,8356,35000,Petrol,Individual,Manual,First Owner,1197 CC,5
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,8562,70000,Diesel,Individual,Automatic,Second Owner,2179 CC,8
Ford Freestyle Titanium Petrol BSIV,2020,5479,5000,Petrol,Individual,Manual,Second Owner,1194 CC,5
Hyundai Verna VTVT 1.6 SX,2017,11863,37800,Petrol,Individual,Manual,First Owner,1591 CC,5
Volkswagen Passat 1.8 TSI MT,2010,9589,114000,Petrol,Individual,Manual,First Owner,1798 CC,5
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,4110,48000,Petrol,Individual,Manual,First Owner,1172 CC,5
Mahindra XUV500 W11 Option AWD,2019,23288,32000,Diesel,Individual,Manual,First Owner,2179 CC,7
Tata Indigo CS LS (TDI) BS-III,2016,5137,100000,Diesel,Individual,Manual,First Owner,1405 CC,5
Hyundai Verna 1.6 SX,2013,7151,150000,Diesel,Individual,Manual,Second Owner,1582 CC,5
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,6192,69000,Diesel,Individual,Manual,First Owner,1396 CC,5
Toyota Corolla Altis G,2009,4110,100000,Petrol,Individual,Manual,Second Owner,1798 CC,5
Maruti Celerio VXI,2020,6507,13000,Petrol,Individual,Manual,First Owner,998 CC,5
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,10685,60000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Swift Dzire VXI,2017,8151,40000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Wagon R VXI BS IV,2017,6027,35000,Petrol,Individual,Manual,First Owner,998 CC,5
Maruti Swift VDI BSIV,2010,4110,120000,Diesel,Individual,Manual,Second Owner,,
Nissan Terrano XL 85 PS,2014,5479,70000,Diesel,Individual,Manual,Third Owner,1461 CC,5
Hyundai Creta 1.6 CRDi SX,2016,15616,50000,Diesel,Individual,Manual,First Owner,1582 CC,5
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,11644,76139,Diesel,Individual,Manual,First Owner,1498 CC,5
Maruti Swift Dzire VDi,2012,5068,175000,Diesel,Individual,Manual,Fourth & Above Owner,1248 CC,5
Renault KWID 1.0,2018,4795,25000,Petrol,Individual,Manual,First Owner,999 CC,5
Maruti Celerio VXI,2015,4932,40000,Petrol,Individual,Manual,Second Owner,998 CC,5
Maruti Alto LXi,2008,1438,65000,Petrol,Individual,Manual,Fourth & Above Owner,796 CC,5
Maruti Ertiga VDI,2013,8562,90000,Diesel,Individual,Manual,Second Owner,1248 CC,7
Hyundai Santro Xing GLS,2009,1849,80000,Petrol,Individual,Manual,Second Owner,1086 CC,5
Maruti Ertiga VDI,2015,9589,110000,Diesel,Individual,Manual,Second Owner,1248 CC,7
Honda Amaze S i-VTEC,2019,9452,1303,Petrol,Dealer,Manual,First Owner,1198 CC,5
Audi Q5 35TDI Premium Plus,2018,54452,31800,Diesel,Dealer,Automatic,First Owner,1968 CC,5
Lexus ES 300h,2019,70548,20000,Petrol,Dealer,Automatic,First Owner,2487 CC,5
Jaguar XF 2.0 Diesel Portfolio,2017,43836,45000,Diesel,Dealer,Automatic,First Owner,1999 CC,5
Jeep Wrangler 2016-2019 3.6 4X4,2017,56164,17000,Petrol,Individual,Automatic,First Owner,3604 CC,5
Land Rover Discovery Sport TD4 SE,2019,61644,21000,Diesel,Dealer,Automatic,First Owner,1999 CC,7
Mercedes-Benz S-Class S 350 CDI,2017,82192,37000,Diesel,Dealer,Automatic,First Owner,2987 CC,5
BMW 5 Series 520d Sport Line,2018,51918,29500,Diesel,Dealer,Automatic,First Owner,1995 CC,5
BMW X1 sDrive 20D xLine,2017,29452,27000,Diesel,Dealer,Automatic,First Owner,,
BMW X4 M Sport X xDrive20d,2019,79452,7500,Diesel,Dealer,Automatic,First Owner,1995 CC,5
Skoda Superb LK 1.8 TSI AT,2018,25548,50000,Petrol,Dealer,Automatic,First Owner,1798 CC,5
Mercedes-Benz E-Class E250 Edition E,2016,36986,35000,Diesel,Dealer,Automatic,First Owner,2143 CC,5
MG Hector Sharp AT BSIV,2019,23973,19000,Petrol,Dealer,Automatic,First Owner,1451 CC,5
Honda City i-VTEC CVT VX,2017,10890,41000,Petrol,Dealer,Automatic,First Owner,1497 CC,5
Toyota Corolla Altis 1.8 G CVT,2013,8562,39000,Petrol,Dealer,Automatic,First Owner,1798 CC,5
Volvo XC40 D4 R-Design,2018,46575,22000,Diesel,Dealer,Automatic,First Owner,1969 CC,5
Audi Q7 35 TDI Quattro Premium,2015,36301,53000,Diesel,Dealer,Automatic,First Owner,2967 CC,7
Maruti Ciaz ZDi,2015,7329,40000,Diesel,Dealer,Manual,First Owner,1248 CC,5
Mercedes-Benz S-Class S 350 CDI,2017,80137,47000,Diesel,Dealer,Automatic,First Owner,2987 CC,5
BMW 5 Series 523i,2010,13356,72200,Petrol,Dealer,Automatic,Second Owner,2497 CC,5
Hyundai Elantra S,2016,11027,49900,Petrol,Dealer,Manual,First Owner,1797 CC,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,35959,9000,Diesel,Dealer,Automatic,First Owner,1999 CC,5
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,11110,11000,Petrol,Dealer,Manual,First Owner,1198 CC,5
Volkswagen Vento Petrol Highline,2011,5137,49000,Petrol,Individual,Manual,First Owner,1598 CC,5
Hyundai Elantra SX,2012,7534,95000,Petrol,Individual,Manual,First Owner,1797 CC,5
Skoda Rapid 1.6 MPI AT Elegance,2016,8836,11000,Petrol,Dealer,Automatic,First Owner,1598 CC,5
Mercedes-Benz CLA 200 CGI Sport,2018,34932,18000,Petrol,Dealer,Automatic,First Owner,1991 CC,5
Maruti Ertiga ZXI,2014,8205,46100,Petrol,Dealer,Manual,First Owner,1373 CC,7
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,36986,16000,Petrol,Dealer,Automatic,First Owner,1991 CC,5
Honda City V AT,2017,11986,18000,Petrol,Dealer,Automatic,First Owner,1497 CC,5
Toyota Glanza V CVT,2019,12260,9654,Petrol,Dealer,Automatic,First Owner,1197 CC,5
Maruti Alto K10 VXI,2011,2397,11000,Petrol,Dealer,Manual,First Owner,998 CC,5
Maruti Swift VXI,2012,4658,24300,Petrol,Dealer,Manual,First Owner,1197 CC,5
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,20890,42163,Diesel,Dealer,Automatic,Second Owner,2755 CC,7
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,14041,8000,Diesel,Dealer,Automatic,First Owner,1497 CC,5
BMW 3 Series 320d Luxury Line,2016,29452,30000,Diesel,Dealer,Automatic,First Owner,1995 CC,5
Toyota Camry 2.5 Hybrid,2016,26027,41000,Petrol,Dealer,Automatic,First Owner,2494 CC,5
BMW 5 Series 520d Luxury Line,2016,39726,12000,Diesel,Dealer,Automatic,First Owner,1995 CC,5
Toyota Camry W4 (AT),2009,6164,71000,Petrol,Dealer,Automatic,First Owner,2362 CC,5
Maruti Ertiga BSIV ZXI Plus,2016,11644,20000,Petrol,Individual,Manual,First Owner,1373 CC,7
Volvo XC90 T8 Excellence BSIV,2017,136986,30000,Petrol,Individual,Automatic,First Owner,1969 CC,4
Volkswagen Vento Diesel Highline,2011,4110,100000,Diesel,Individual,Manual,Second Owner,1598 CC,5
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,7877,9500,Petrol,Individual,Manual,First Owner,1196 CC,5
Ford Figo Diesel LXI,2011,2192,120000,Diesel,Individual,Manual,First Owner,1399 CC,5
Maruti Swift VXI Optional,2015,7055,36600,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Wagon R AMT VXI,2015,5342,50000,Petrol,Individual,Automatic,Second Owner,998 CC,5
Hyundai i20 Magna 1.2,2016,7534,14000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Maruti 800 Std,1999,548,40000,Petrol,Individual,Manual,Second Owner,796 CC,4
Maruti Ritz VDi,2010,3014,120000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai Grand i10 Magna,2015,5822,70000,Petrol,Individual,Manual,First Owner,1197 CC,5
Volkswagen Ameo 1.0 MPI Trendline,2019,6575,13000,Petrol,Individual,Manual,First Owner,999 CC,5
Hyundai Grand i10 Sportz,2014,5479,60000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Maruti Swift Dzire VXI,2014,6671,35000,Petrol,Individual,Manual,First Owner,1197 CC,5
Hyundai Xcent 1.2 Kappa S,2016,5288,44000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Honda City 1.5 EXI,2005,1370,120000,Petrol,Individual,Manual,Second Owner,1493 CC,5
Toyota Corolla Altis Diesel D4DG,2010,4110,60000,Diesel,Individual,Manual,First Owner,1364 CC,5
Daewoo Matiz SD,2000,1370,60000,Petrol,Individual,Manual,First Owner,796 CC,5
Toyota Fortuner 4x2 Manual,2014,23973,30000,Diesel,Individual,Manual,Second Owner,2982 CC,7
Mahindra KUV 100 mFALCON G80 K8,2016,6164,15000,Petrol,Individual,Manual,Second Owner,1198 CC,6
Tata Zest Quadrajet 1.3 75PS XM,2017,6712,90000,Diesel,Individual,Manual,First Owner,1248 CC,5
Honda City 1.5 S MT,2009,4726,47000,Petrol,Individual,Manual,Second Owner,1497 CC,5
Maruti Zen LXI,2005,1164,90000,Petrol,Individual,Manual,First Owner,993 CC,5
Maruti Wagon R VXI BS IV with ABS,2010,2945,120600,Petrol,Individual,Manual,Second Owner,998 CC,5
Hyundai Verna Transform SX VTVT,2010,4384,100000,Petrol,Individual,Manual,Third Owner,1599 CC,5
Maruti Swift Dzire VXI,2016,6301,60000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Hyundai Getz GLS,2005,890,86000,Petrol,Individual,Manual,First Owner,1341 CC,5
Hyundai Elite i20 Sportz Plus BSIV,2020,9863,5000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Ciaz 1.3 Alpha,2017,10959,37000,Diesel,Individual,Manual,First Owner,1248 CC,5
Tata Tigor 1.2 Revotron XZ,2019,7123,14000,Petrol,Individual,Manual,First Owner,1199 CC,5
Maruti Ertiga VDI,2015,7945,70000,Diesel,Individual,Manual,First Owner,1248 CC,7
Toyota Etios GD,2012,3219,120000,Diesel,Individual,Manual,First Owner,,
Honda City i VTEC S,2015,8219,50000,Petrol,Individual,Manual,First Owner,1497 CC,5
Honda Brio S MT,2014,3973,60000,Petrol,Individual,Manual,Second Owner,1198 CC,5
Maruti Wagon R LXI CNG,2016,4932,50000,CNG,Individual,Manual,First Owner,998 CC,5
Maruti Swift Dzire VXI,2017,7534,50000,Petrol,Individual,Manual,First Owner,1197 CC,5
Hyundai i20 Sportz 1.2,2013,5137,70000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Omni E 8 Str STD,2003,548,90000,Petrol,Individual,Manual,Second Owner,,
Maruti Wagon R AMT VXI,2018,5753,35000,Petrol,Individual,Automatic,First Owner,998 CC,5
Maruti Swift Dzire VXI 1.2,2017,7534,20000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Alto 800 LXI,2018,3699,20000,Petrol,Individual,Manual,First Owner,796 CC,5
Maruti Swift Dzire AMT VXI BS IV,2018,9589,7800,Petrol,Individual,Automatic,First Owner,1197 CC,5
Maruti Swift VXI Optional,2017,6849,20000,Petrol,Individual,Manual,First Owner,1197 CC,5
Tata Hexa XE,2019,17123,15000,Diesel,Individual,Manual,First Owner,2179 CC,7
Hyundai i20 Magna,2013,4384,31377,Petrol,Individual,Manual,Second Owner,1197 CC,5
Maruti Swift Dzire VDI,2018,9589,50000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Wagon R VXI BS IV,2015,3973,60000,Petrol,Individual,Manual,First Owner,998 CC,5
Toyota Corolla Altis 1.8 VL AT,2012,7534,100000,Petrol,Individual,Automatic,First Owner,1794 CC,5
Honda Brio S MT,2012,3630,60000,Petrol,Individual,Manual,First Owner,1198 CC,5
Maruti Baleno Alpha Automatic,2018,11370,5000,Petrol,Individual,Automatic,First Owner,1197 CC,5
Tata Safari Storme EX,2017,10959,60000,Diesel,Individual,Manual,First Owner,2179 CC,7
Maruti Alto LXi,2011,2192,25000,Petrol,Individual,Manual,Second Owner,796 CC,5
Renault KWID RXT,2018,4589,30000,Petrol,Individual,Manual,First Owner,799 CC,5
Datsun GO T BSIV,2017,4507,80000,Petrol,Individual,Manual,Second Owner,1198 CC,5
Maruti Vitara Brezza VDi Option,2017,10616,75000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai Xcent 1.2 VTVT SX,2020,7178,32000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Alto 800 LXI,2015,3356,40000,Petrol,Individual,Manual,First Owner,796 CC,5
Hyundai i20 1.2 Sportz,2012,3767,93000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Tata Zest Revotron 1.2 XT,2018,7123,60000,Petrol,Individual,Manual,First Owner,1193 CC,5
Maruti Swift 1.3 VXi,2008,1781,120000,Petrol,Individual,Manual,Second Owner,,
Nissan Sunny XL,2014,7534,37000,Petrol,Individual,Manual,First Owner,1498 CC,5
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,12466,15000,Petrol,Individual,Manual,First Owner,1497 CC,5
Nissan Micra Active XV S,2015,4110,80000,Petrol,Individual,Manual,First Owner,1198 CC,5
Maruti Wagon R LXI Optional,2016,4795,140000,Petrol,Individual,Manual,First Owner,998 CC,5
Mahindra Ssangyong Rexton RX5,2013,12329,70000,Diesel,Individual,Manual,First Owner,2696 CC,7
Mahindra Quanto C8,2013,4110,120000,Diesel,Individual,Manual,Second Owner,1493 CC,7
Maruti Ritz LDi,2010,3425,110000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,15068,37000,Diesel,Individual,Manual,First Owner,1582 CC,5
Renault KWID RXT,2016,3699,44000,Petrol,Individual,Manual,First Owner,799 CC,5
Maruti Ertiga VDI,2015,8767,80000,Diesel,Individual,Manual,First Owner,1248 CC,7
Mahindra XUV500 W4,2015,8904,125000,Diesel,Individual,Manual,First Owner,2179 CC,7
Maruti Eeco 5 Seater AC BSIV,2017,5616,13500,Petrol,Individual,Manual,First Owner,1196 CC,5
Hyundai Santro Xing GLS,2011,2260,75000,Petrol,Individual,Manual,First Owner,1086 CC,5
Hyundai Accent GLE,2007,1096,120000,Petrol,Individual,Manual,Second Owner,1495 CC,5
Mahindra XUV500 W8 2WD,2012,7329,120000,Diesel,Individual,Manual,First Owner,2179 CC,7
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,9589,70000,Diesel,Individual,Manual,First Owner,2494 CC,7
Maruti Swift Dzire VDI,2013,7534,70000,Diesel,Individual,Manual,First Owner,1248 CC,5
Honda Amaze S CVT Petrol BSIV,2019,9315,15000,Petrol,Individual,Automatic,First Owner,1199 CC,5
Hyundai i10 Sportz 1.2,2009,2740,53000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Maruti Swift Dzire VDI,2014,6849,120000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Maruti Ertiga SHVS ZDI Plus,2016,13699,70000,Diesel,Individual,Manual,First Owner,1248 CC,7
Hyundai Getz 1.3 GVS,2008,1507,120000,Petrol,Individual,Manual,Second Owner,1341 CC,5
Hyundai i20 1.2 Magna,2012,4384,100000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Tata Indica DLS,2005,1027,110000,Diesel,Individual,Manual,Second Owner,,
Maruti Swift LXI Optional-O,2015,4795,100000,Petrol,Individual,Manual,First Owner,1197 CC,5
Tata Indica Vista TDI LS,2013,2329,162500,Diesel,Individual,Manual,First Owner,1405 CC,5
Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,10959,39000,Diesel,Individual,Manual,First Owner,1396 CC,5
Maruti Ignis 1.3 Alpha,2017,6849,75000,Diesel,Individual,Manual,First Owner,1248 CC,5
Tata Hexa XTA,2017,18904,50000,Diesel,Individual,Automatic,First Owner,2179 CC,7
Mahindra Marazzo M6 8Str,2019,17808,40000,Diesel,Individual,Manual,First Owner,1497 CC,8
Hyundai Verna 1.6 CRDI,2013,7260,92500,Diesel,Individual,Manual,First Owner,1582 CC,5
Maruti Swift Dzire VDI,2012,4932,158000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Swift Dzire LDi,2012,4247,120000,Diesel,Individual,Manual,First Owner,1248 CC,5
Honda City i DTEC V,2015,9932,50000,Diesel,Individual,Manual,Second Owner,1498 CC,5
Maruti Swift Dzire ZDi,2012,4658,110000,Diesel,Individual,Manual,First Owner,1248 CC,5
